"국가별(1)","항목",2022.01,2022.02,2022.03,2022.04,2022.05,2022.06,2022.07,2022.08,2022.09
"중국","무역수지 (천불)",197536,2636911,3018307,618404,-1092220,-1218509,-599828,-358091,684934
"미국","무역수지 (천불)",1476183,1779549,2646277,3000961,2414221,2998064,3332083,978613,2560806
"일본","무역수지 (천불)",-1839278,-2229645,-2556391,-2247444,-1427369,-1878824,-2048305,-1909246,-1834757
"홍콩","무역수지 (천불)",2343727,2279598,2655512,2136324,2502739,2653554,1489922,1773460,2785021
"베트남","무역수지 (천불)",2995115,3164424,3504170,3071242,2777030,2864302,2998215,1958693,2494160
"대만","무역수지 (천불)",-228747,260715,203203,-87793,520899,-122885,-644362,-440743,-665454
"싱가포르","무역수지 (천불)",464530,667863,1365417,1014964,796597,653715,1031006,1196308,1146798
"인도","무역수지 (천불)",770361,618869,527266,645737,619988,570709,1513153,951945,1040892
"독일","무역수지 (천불)",-838568,-1076854,-1266804,-1345673,-1137343,-939123,-949017,-1276923,-695644
"멕시코","무역수지 (천불)",536833,429658,797025,587553,350508,77107,186420,397628,318485
"인도네시아","무역수지 (천불)",-472877,-316143,-659837,-421223,-312284,-225180,-531845,-542896,-520633
"호주","무역수지 (천불)",-2860657,-2205929,-2722810,-1376530,-1865480,-2168960,-2263951,-2237327,-2170109
"필리핀","무역수지 (천불)",582504,604926,716686,884552,833226,826433,769990,538863,490589
"말레이시아","무역수지 (천불)",-712828,-301042,-341779,-155005,-101760,40930,112751,-49772,-859611
"러시아 연방","무역수지 (천불)",-1206039,-765804,-1268657,-1437731,-763782,-465019,-310521,-484963,-433186
"태국","무역수지 (천불)",212808,15476,23954,55507,109346,11235,7219,-12915,96241
"영국","무역수지 (천불)",123467,-31938,304106,-81791,-235217,49476,223570,16435,10796
"브라질","무역수지 (천불)",-192543,-114345,-271805,-142387,-29682,-242271,-405780,-196991,-330464
"사우디아라비아","무역수지 (천불)",-2903798,-2363122,-3070587,-3225893,-3282806,-2769867,-3513244,-4271804,-3060763
"아랍에미리트 연합","무역수지 (천불)",-450476,-113417,-480683,-813060,-542532,-1035011,-2097337,-1234351,-1186555
"네덜란드","무역수지 (천불)",9788,-53115,-6965,67308,26083,-209796,203203,226975,71513
"캐나다","무역수지 (천불)",107032,15070,-119641,-1856,-108355,-81562,-85766,-252039,-241100
"마샬군도","무역수지 (천불)",359820,312821,224372,35016,263270,286917,197223,129711,329050
"튀르키예","무역수지 (천불)",560616,616938,614536,679051,560248,354774,545865,539500,400981
"이탈리아","무역수지 (천불)",-147448,-188776,-209043,-140759,-280788,-319019,-282918,-343818,-423659
"이란","무역수지 (천불)",17421,10446,19920,14240,17712,22311,17537,11114,13464
"폴란드","무역수지 (천불)",509226,464742,577857,422547,522816,508005,582124,517756,521818
"프랑스","무역수지 (천불)",-63072,-94544,-253845,-169884,-306278,-327659,-149834,-71826,-403931
"라이베리아","무역수지 (천불)",173,194752,227043,313169,575582,264570,246349,259149,376253
"파나마","무역수지 (천불)",-8866,65365,-13131,-60787,77267,-1418,-75810,80191,82672
"슬로바키아","무역수지 (천불)",181386,147047,231279,152669,176728,173371,149083,136480,197343
"스페인","무역수지 (천불)",83555,40942,71021,108458,77181,16067,42412,-17011,84567
"벨기에","무역수지 (천불)",202898,214947,215123,184406,82321,267340,174182,161324,263777
"칠레","무역수지 (천불)",-526009,-355394,-498458,-520271,-642717,-291704,-442096,-518678,-418795
"노르웨이","무역수지 (천불)",-161013,-92428,-72624,-56520,-93312,-96276,-148014,74263,-58175
"그리스","무역수지 (천불)",-45759,36920,321358,61506,139374,113707,11778,-142529,-3471
"헝가리","무역수지 (천불)",349057,318185,385447,380807,489660,368650,512671,475987,415684
"이집트","무역수지 (천불)",114595,12273,-35259,-49369,9016,92454,53992,-187364,-126893
"남아프리카공화국","무역수지 (천불)",-149440,-117688,-164221,-221794,-206971,-229406,-272719,-417158,-293791
"체코공화국","무역수지 (천불)",195112,153128,182378,144555,196680,167416,198169,146599,209301
"바하마","무역수지 (천불)",1860,216027,118966,839,187983,1276,666,759,1305
"우즈베크","무역수지 (천불)",181290,141752,190058,180871,163038,171521,233312,181724,176193
"나이지리아","무역수지 (천불)",-61490,127203,-215050,-2506,-78468,-54347,-41929,-75729,-281382
"이스라엘","무역수지 (천불)",30701,78079,22796,25800,10371,-13577,47244,-5118,41821
"몰타","무역수지 (천불)",-2351,393839,143320,204673,133444,4741,199857,98465,12029
"방글라데시","무역수지 (천불)",135493,51621,38117,128212,260457,145607,227024,195472,192322
"뉴질랜드","무역수지 (천불)",4263,64361,192532,37947,-6595,159411,260613,114893,240063
"버뮤다","무역수지 (천불)",133,471,256,435,56121,239856,1232,854,256
"이라크","무역수지 (천불)",-307282,-602299,-594114,-679603,-677556,-752274,-979848,-660572,-1024250
"콜롬비아","무역수지 (천불)",64020,36123,352,49107,40790,11343,45462,-8556,-10200
"쿠웨이트","무역수지 (천불)",-1050782,-1144445,-1324214,-1319157,-969770,-903696,-1234926,-810705,-999797
"슬로베니아","무역수지 (천불)",160335,112606,76991,125856,110999,97431,125519,83370,130864
"핀란드","무역수지 (천불)",-73167,-41862,-86648,-80035,-71796,-116345,-75336,-85484,-39238
"스웨덴","무역수지 (천불)",-28662,6149,-20180,8936,-88399,-84256,-46242,-25074,-83764
"알제리","무역수지 (천불)",-195948,-251901,-164146,-226121,-306457,-285850,-365864,-368699,-262775
"오스트리아","무역수지 (천불)",-39380,-38172,-4568,-19627,-49181,12432,-20404,-157618,-36908
"페루","무역수지 (천불)",-254632,-165782,-322095,-254045,-203818,-65375,-430959,-80579,-107207
"파키스탄","무역수지 (천불)",31677,35695,109623,107817,89530,88411,42687,76475,47847
"요르단","무역수지 (천불)",37701,42306,67123,52030,53264,58090,48323,63597,60986
"덴마크","무역수지 (천불)",-29358,-50792,-45512,-42166,-53247,-53852,-18291,-61317,-40022
"앙골라","무역수지 (천불)",7868,5807,8779,18463,7913,17145,11470,8049,7659
"카자흐스탄","무역수지 (천불)",-50141,-215096,-541459,-393725,-226182,-565925,-212144,-324360,41094
"사이프러스","무역수지 (천불)",1996,4999,82803,2711,83412,3585,2693,2022,2057
"카타르","무역수지 (천불)",-1217187,-1239055,-1062041,-1382500,-1312785,-1080764,-1284219,-1780396,-1334901
"스위스","무역수지 (천불)",-225954,-160158,-231166,-192241,-215995,-171951,-222074,-181051,-145806
"우크라이나","무역수지 (천불)",-57586,-39743,-58367,-135041,-23241,692,-9992,-7001,-34797
"오만","무역수지 (천불)",-707023,-309457,-422098,-451174,-264193,-215734,-699894,-603386,-279378
"아르헨티나","무역수지 (천불)",-169454,-119190,-146567,-81528,-63979,-80392,-145268,-282580,-284137
"리비아","무역수지 (천불)",35960,36907,44060,37333,18300,-16735,16228,4039,20755
"아일랜드","무역수지 (천불)",-55416,-53569,-49822,-69068,-31177,-70701,-42388,-66302,-36516
"에쿠아도르","무역수지 (천불)",28984,16872,31269,80250,156882,117040,58067,-95288,32690
"미얀마","무역수지 (천불)",0,-25754,-35399,-1419,9220,-996,-14651,-39994,-61124
"포루투갈","무역수지 (천불)",17961,29199,24125,33771,21943,8673,30629,-8629,23288
"루마니아","무역수지 (천불)",6209,-15327,-7707,-3720,-49238,-16400,-36361,-37968,-20636
"시리아","무역수지 (천불)",1558,1233,1645,1760,983,2132,2041,1197,1845
"베네주엘라","무역수지 (천불)",2212,2401,4290,2601,1321,4637,2665,2125,2156
"캄보디아","무역수지 (천불)",46107,19860,20000,28889,26966,26649,12324,3819,13211
"과테말라","무역수지 (천불)",20541,14330,12566,11605,16991,16940,10594,45088,8178
"영령 캐이맨 군도","무역수지 (천불)",208,713,19,1197,-4905,304,955,1276,631
"스리랑카","무역수지 (천불)",14281,5307,7982,5838,3786,5562,4053,-620,3316
"모로코","무역수지 (천불)",16328,13460,14980,-39218,17412,7668,12686,7095,30076
"영령 버진군도","무역수지 (천불)",6,62,5,455,156,22,315,164,468
"토고","무역수지 (천불)",167282,-4815,-2945,208804,525817,302434,202623,232792,182890
"바레인","무역수지 (천불)",-49868,-79172,-19789,-137066,-130614,-68250,-64283,-96374,-18059
"몽골","무역수지 (천불)",32489,30101,37702,38476,32993,44888,34080,31053,29227
"푸에르토리코","무역수지 (천불)",-45984,-21354,10109,19450,7287,11279,15072,1155,4958
"코스타리카","무역수지 (천불)",7409,-76,5971,10141,-1488,6620,-1237,71,3269
"레바논","무역수지 (천불)",1126,4971,9109,5962,4640,6159,4279,5402,4746
"기타국","무역수지 (천불)",-551760,-391091,-427031,-295385,-344365,-386332,-437022,-332532,-457315
"가나","무역수지 (천불)",28773,18259,19413,16150,16060,11938,13044,11801,10830
"도미니카 공화국","무역수지 (천불)",16973,16310,17449,24684,25063,14951,20595,21789,20746
"케냐","무역수지 (천불)",20641,9253,19862,111591,16655,111310,15499,25171,18135
"괌","무역수지 (천불)",7192,4873,36346,53883,61132,75617,6320,37792,47396
"리투아니아","무역수지 (천불)",31439,16668,23012,26060,30003,28242,26405,19258,14752
"튀니지","무역수지 (천불)",-6571,4011,1269,507,-1624,-1240,6268,-3312,4147
"수단","무역수지 (천불)",12306,13311,10423,11701,9941,13059,8408,6262,9388
"크로아티아","무역수지 (천불)",-2268,-2262,12727,10184,34,8640,-6848,-7528,-770
"콩고","무역수지 (천불)",591,774,2707,1619,1070,699,1099,1212,1271
"니카라과","무역수지 (천불)",5964,4856,-1891,-3301,-386,-3901,-8117,6385,4154
"불가리아","무역수지 (천불)",-20856,-6668,-14273,-7810,-13607,-6033,-14518,-24095,-28360
"예맨","무역수지 (천불)",6696,-2951,-2785,-1542,1460,-3072,2085,4889,2535
"온두라스","무역수지 (천불)",11425,-10587,2619,12536,-9310,6972,7935,6241,6493
"우루과이","무역수지 (천불)",-7928,-5854,-3059,-41176,-22628,-11497,-15055,3366,-16298
"맨섬","무역수지 (천불)",0,0,-87,0,-124,0,0,-202,-199
"아제르바이잔","무역수지 (천불)",8379,9594,9592,11825,16032,7718,39100,12408,15009
"파라과이","무역수지 (천불)",5064,8228,8876,9590,16677,15378,12884,7879,5646
"탄자니아","무역수지 (천불)",10926,11338,13042,4643,4421,16943,10576,15921,13802
"엘살바도르","무역수지 (천불)",28624,15480,9181,6035,-480,15368,8610,12577,8303
"브루나이","무역수지 (천불)",736,-52372,2223,1166,-76191,5860,2197,1833,-52813
"피지","무역수지 (천불)",35435,2150,40977,5516,48730,1043,49357,40831,5092
"키르기스스탄","무역수지 (천불)",10751,10315,14135,13603,14320,18194,29505,34580,51411
"투르크멘","무역수지 (천불)",449,255,909,1143,321,601,561,1000,455
"코트디부아르","무역수지 (천불)",11818,11979,15005,17945,18020,12857,15006,1455,10104
"아프카니스탄","무역수지 (천불)",1271,749,1621,1173,1123,841,1516,866,1399
"라트비아","무역수지 (천불)",-6461,-3703,-3859,-2920,-5939,-1916,-2406,-4570,-936
"쿠바","무역수지 (천불)",3011,203,-224,-536,-122,5089,196,321,-295
"라오스","무역수지 (천불)",208,828,1267,-15348,3888,442,-4291,-1128,-2024
"불령 폴리네시아","무역수지 (천불)",1186,109,3821,1827,1740,2259,4545,1154,1690
"룩셈부르그","무역수지 (천불)",-3057,-715,-9290,782,-6008,-7869,-8530,-3732,6974
"이디오피아","무역수지 (천불)",-2562,1484,-4720,-2375,221,-4251,-13052,-8581,-9814
"에스토니아","무역수지 (천불)",-3975,619,-274,2318,1886,2982,2153,-1238,422
"트리니다드 토바고","무역수지 (천불)",-8978,-26845,-22783,-13466,-38543,-6576,-5359,-6618,-29098
"뉴 칼레도니아","무역수지 (천불)",-18834,-13439,-1968,-27230,-52477,-58099,-54724,-43529,-22748
"세네갈","무역수지 (천불)",1566,3404,4237,7128,4823,3306,1202,-3426,3005
"파푸아 뉴기니","무역수지 (천불)",-148931,-94411,-103416,-9973,3464,-11904,-1330,-47728,-292707
"조지아","무역수지 (천불)",5752,9592,9296,7467,11528,5807,8126,7933,9300
"아이슬란드","무역수지 (천불)",3198,2839,1045,3895,2278,1297,4027,-1205,4379
"세르비아","무역수지 (천불)",2779,18343,14855,-3699,10233,-8913,-9358,-6539,8524
"마카오","무역수지 (천불)",915,1179,867,1391,1359,873,944,1605,3184
"지부티","무역수지 (천불)",5896,3044,3725,3774,2764,3733,3221,2816,2922
"모잠비크","무역수지 (천불)",-37645,11605,-45031,-70601,-23772,-24871,-70660,-57510,-42896
"지브랄타","무역수지 (천불)",-37688,43,39,31,88,42,174,76,152
"북마리아나 군도","무역수지 (천불)",1608,907,1302,1144,2385,1892,2493,1528,1006
"모리셔스","무역수지 (천불)",2403,3615,1731,2373,2508,2438,5871,2956,3971
"아이티","무역수지 (천불)",5968,5099,8034,5472,5653,5380,7238,5901,3755
"팔레스타인 해방기구","무역수지 (천불)",5433,3957,9473,6255,7554,11039,6306,4118,4538
"마다카스카르","무역수지 (천불)",438,-4453,-7000,-1257,-21978,-19000,-9789,-11302,-7519
"베라루스","무역수지 (천불)",1828,2410,948,1144,384,-109,1367,1831,3159
"중앙아프리카공화국","무역수지 (천불)",5,56,3,238,44046,0,31,84,308
"모나코","무역수지 (천불)",-56,-30,-375,-80,-18,79,-339,-34,-32
"볼리비아","무역수지 (천불)",-15513,-129050,-23891,-52549,-68651,-53858,-70949,1317,-74666
"베닝","무역수지 (천불)",1232,1707,2625,1680,2200,1403,1529,1043,2025
"기니","무역수지 (천불)",-2765,-6124,-4482,-2210,289,-1871,-1031,-4727,317
"카메룬","무역수지 (천불)",-157603,8393,2954,5097,10538,93987,5750,75504,2705
"바누아투","무역수지 (천불)",177,-1424,795,-548,-883,-3166,-1816,-683,130
"네팔","무역수지 (천불)",2352,2268,1889,2421,5087,1110,1445,2571,2796
"불령 리유니온 코모도 제도","무역수지 (천불)",4302,3792,4430,2980,1324,4724,3210,2526,2481
"타지크","무역수지 (천불)",3840,3383,3230,5085,4298,4149,8786,11678,7399
"자마이카","무역수지 (천불)",2428,2940,2550,5607,4649,4878,3773,2794,3026
"아루바","무역수지 (천불)",1586,509,1925,2305,1854,1986,3531,2300,870
"가이아나","무역수지 (천불)",1728,1142,2263,2638,4008,1648,3484,2601,846
"콩고민주공화국","무역수지 (천불)",-74958,-85350,-144874,-90455,-65070,-49641,-93718,-77656,-52243
"말리","무역수지 (천불)",622,293,1421,2265,437,253,1261,178,745
"짐바브웨","무역수지 (천불)",838,926,437,-326,-535,1527,956,113,513
"안티가 바부다","무역수지 (천불)",121,247,46,272,-12,195,285,477,235
"스와질랜드","무역수지 (천불)",-51,217,-5,430,638,-565,-19,49,188
"마이크로네시아","무역수지 (천불)",924,462,498,1190,677,579,356,869,565
"아메리칸 사모아","무역수지 (천불)",1255,157,745,1120,1036,-402,-51,6492,3458
"잠비아","무역수지 (천불)",-6911,-13594,-4504,-3606,-4753,-9484,-2327,-6669,-4412
"부르키나 파소","무역수지 (천불)",2604,4227,3572,2393,1802,2811,3308,2039,3130
"레소토","무역수지 (천불)",0,12,-1,-2,149,-4,79,-3,-5
"사모아","무역수지 (천불)",2970,2891,3089,3284,3190,3582,5699,1298,2999
"마티니크","무역수지 (천불)",779,334,1175,1426,1050,780,1160,1030,872
"알바니아","무역수지 (천불)",742,150,-33980,1086,1521,2189,2183,1811,2590
"가봉","무역수지 (천불)",-74247,-98309,-95529,-114230,-212068,895,-117639,715,751
"아르메니아","무역수지 (천불)",1239,-1041,31,1081,1758,973,2605,982,-1338
"우간다","무역수지 (천불)",73,573,-631,4439,1319,474,633,467,289
"세이쉘","무역수지 (천불)",1733,318,1210,252,478,38,795,-12,1518
"르완다","무역수지 (천불)",1213,1745,625,297,530,771,2371,1128,2092
"보스니아-헤르체고비나","무역수지 (천불)",-2560,-3210,-5391,-279,876,-3722,-3286,-4613,-2792
"네덜란드 열도","무역수지 (천불)",101,37,108,76,38,68,53,230,93
"과델로프","무역수지 (천불)",2065,712,748,800,1310,550,1176,2162,1508
"바베이도스","무역수지 (천불)",1018,641,417,165,537,664,673,533,386
"말라위","무역수지 (천불)",-4537,1098,3301,-746,-329,3637,-243,-686,3360
"적도 기니","무역수지 (천불)",-37858,7,-18724,-62827,-46810,22,59,-93784,-110736
"수리남","무역수지 (천불)",136,362,1033,1363,158,117,124,-769,436
"솔로몬 군도","무역수지 (천불)",152,62,575,-959,-226,334,-1878,321,-2055
"도미니카","무역수지 (천불)",191,127,540,300,930,30,174,93,123
"마세도니아","무역수지 (천불)",1194,906,1714,1302,-744,757,695,2057,1174
"시에라 리온","무역수지 (천불)",-656,-1165,-1915,-414,-1205,67,615,295,142
"유고","무역수지 (천불)",0,0,0,0,0,0,0,0,0
"보츠와나","무역수지 (천불)",520,198,78,1132,761,7,484,76,192
"모리타니","무역수지 (천불)",-1416,82,-1368,-362,-2099,-1043,-1087,-2537,7
"키리바티","무역수지 (천불)",-1369,343,2017,-128,228,131,439,438,1920
"몰도바","무역수지 (천불)",1485,-508,197,1362,-2709,2287,266,-2486,630
"벨리제","무역수지 (천불)",603,339,825,467,539,103,434,530,684
"나우르","무역수지 (천불)",0,75,-4210,-3910,-1979,93,37,-3168,0
"팔라우","무역수지 (천불)",4697,86,147,26,7220,251,150,72,249
"세르비아 와 몬테네그로","무역수지 (천불)",0,0,0,0,0,0,0,0,0
"소말리아","무역수지 (천불)",876,598,856,740,1589,698,1062,1414,928
"리히텐슈타인","무역수지 (천불)",-55,-872,-849,-572,-621,-604,-879,-1641,-1168
"에리트리아","무역수지 (천불)",-12921,7,-10781,-13880,-16674,-17411,0,383,0
"부탄","무역수지 (천불)",1527,465,1156,402,-258,-101,-75,1010,890
"세인트 키츠 네비스","무역수지 (천불)",65,3,15,74,271,119,179,5574,150
"나미비아","무역수지 (천불)",-108,225,-380,1481,1094,-73,-92,-300,-436
"니제르","무역수지 (천불)",1272,4551,697,-1922,1563,7,-37,3,9
"몰디브","무역수지 (천불)",1005,723,591,814,784,1632,599,540,540
"티모르","무역수지 (천불)",370,-64836,124,37,33,13,106,9,375
"서사하라","무역수지 (천불)",0,0,0,0,110112,0,0,40173,0
"세인트 빈센트 그레나딘","무역수지 (천불)",473,590,273,282,710,348,996,-171,-36
"불령 가이아나","무역수지 (천불)",304,460,247,675,790,310,527,338,4
"세인트 마틴","무역수지 (천불)",371,583,489,1553,1489,638,180,900,454
"감비아","무역수지 (천불)",534,-266,-640,-269,38,-713,66,-114,10
"세인트 루시아","무역수지 (천불)",398,487,426,456,545,163,554,681,421
"영령 인도양","무역수지 (천불)",0,0,0,0,-2,0,0,0,0
"그레나다","무역수지 (천불)",258,199,171,266,75,82,440,353,414
"안도라","무역수지 (천불)",-14,10,276,-1,80,186,1,-45,4
"챠드","무역수지 (천불)",-1,11,16,84,18,403,16,50,35
"큐라소","무역수지 (천불)",132,288,616,2230,1618,904,1045,1209,1060
"몬테네그로","무역수지 (천불)",-60684,-17175,-24158,-23023,-51494,-68525,-6887,-16152,-15881
"안타티카","무역수지 (천불)",0,106,4,0,-3252,0,0,0,0
"카보 베르데","무역수지 (천불)",156,249,153,210,628,49,595,65,727
"부룬디","무역수지 (천불)",447,146,254,42,17,36,123,84,27
"투발루","무역수지 (천불)",59,1166,817,6,90,-1153,-59,641,60
"통가","무역수지 (천불)",10,0,30,0,4,11,-1,-14,-15
"미령 버진군도","무역수지 (천불)",-19,-13,21,87,33,-3,129,-8,-14
"투르크 & 카이코스 군도","무역수지 (천불)",26,11,0,1,178,0,20,205,8
"상토메 프린스페","무역수지 (천불)",0,5,0,0,0,91,3,59,106
"국제통화기금","무역수지 (천불)",0,0,0,0,0,0,0,0,0
"불령 남부지역","무역수지 (천불)",0,0,0,0,0,0,0,0,0
"기네비소","무역수지 (천불)",65,-226,1227,-24,0,-63,-197,-94,-57
"메요트","무역수지 (천불)",157,253,0,0,0,227,672,375,13
"산마리노","무역수지 (천불)",-347,-108,-1279,-875,-1834,-540,-624,-85,-1195
"앙귈라","무역수지 (천불)",1,16,18,23,9,0,0,3,84
"노폴크 아일랜드","무역수지 (천불)",0,0,0,0,0,0,0,0,0
"쿡 아일랜드","무역수지 (천불)",0,2,-1,-2,2,0,50,0,0
"토켈라우","무역수지 (천불)",-16,-5,-22,-4,0,0,0,-12,-4
"세인트 바르탤르미","무역수지 (천불)",7,4,10,-1,0,698,667,57,9
"파로에 군도","무역수지 (천불)",-6,0,-1,-62,-17,0,0,0,-3
"남수단","무역수지 (천불)",39,402,9,168,232,272,3,447,4
"코모로스","무역수지 (천불)",3,309,8,-3,0,-26,5,-25,12
"몬트세라트","무역수지 (천불)",6,0,109,-7,9,-5,134,-24,1365
"남조지아 & 남샌드위치 군도","무역수지 (천불)",0,0,0,0,0,0,0,-1,0
"마이너 아우틀링 합중국 군도","무역수지 (천불)",0,0,-1,-5,0,0,-1,0,0
"중립지대","무역수지 (천불)",0,0,0,0,0,0,0,0,0
"교황청","무역수지 (천불)",0,0,0,0,0,0,0,0,0
"피트카이른","무역수지 (천불)",0,-3,0,0,0,0,0,0,0
"포클랜드 군도","무역수지 (천불)",0,0,2,-1,-3,0,0,-10,-1
"코스 군도","무역수지 (천불)",0,0,0,-2,0,0,-1,-1,0
"세인트 헬레나","무역수지 (천불)",0,0,-21,2,1,-9,0,-7,2
"보빗군도","무역수지 (천불)",0,0,0,0,-1,0,0,0,0
"왈라스 & 퓨투나 군도","무역수지 (천불)",13,0,12,16,0,0,31,0,0
"허드 앤 맥도날드 군도","무역수지 (천불)",0,0,-5,0,0,-6,0,0,-16
"그린랜드","무역수지 (천불)",-6,0,0,-26,143,0,-9,-31,-211
"프랑스 메트로폴리탄","무역수지 (천불)",0,0,0,0,0,0,0,0,0
"파나마운하지역","무역수지 (천불)",0,0,0,0,0,0,0,0,0
"크리스마스 아일랜드","무역수지 (천불)",0,0,0,0,0,0,0,0,-1
"세인트 피레 미켈론","무역수지 (천불)",0,0,0,0,0,0,0,0,0
"캔톤아일랜드","무역수지 (천불)",0,0,0,0,0,0,0,0,0
"스발비드 군도","무역수지 (천불)",0,0,-2,-1,0,-1,0,0,0
"보네르 신트외스타티위스","무역수지 (천불)",0,0,0,0,5,0,0,0,0
"세인트마틴(생마르탱)","무역수지 (천불)",4,0,2,1,0,5,20,54,1
"건지","무역수지 (천불)",0,0,-1,0,0,0,-1,-1,10
"웨이크 아일랜드","무역수지 (천불)",0,0,0,0,0,0,0,0,0
"존스톤 아일랜드","무역수지 (천불)",0,0,0,0,0,0,0,0,0
"저어지","무역수지 (천불)",-1,0,-2,-1,-1,-1,0,-1,0
"니우에","무역수지 (천불)",-11,-10,-25,0,0,-34,-5,-3,-1
"미드웨이 군도","무역수지 (천불)",0,0,0,0,0,0,0,0,0
"알랜드 군도","무역수지 (천불)",0,0,0,0,0,0,0,0,0
"해외교포","무역수지 (천불)",0,0,0,0,0,0,0,0,0
"자이르","무역수지 (천불)",0,0,0,0,0,0,0,0,0
